UserID,Label,Class,Electry_down,Message,Electry_line,Electry_in,Electry_out,B_,Current_B,C_,Current_C,Power
5375,1,1,4,1,7721,6289,4087.85,0,0,522,37.2,0.754
6389,1,2,4,4,5189,3987,2990.25,0,0,402,46.8,0.8
2449,1,3,2,1,2838,1540,1001,0,0,682,26.8,0.754
9057,0,1,9,0,5891,4682,4494.72,0,0,729,29.5,0.781
5350,0,2,3,0,6424,5182,5130.18,0,0,338,39.6,0.758
5056,0,3,2,0,4596,3481,3272.14,0,0,168,,0.764
8389,1,1,5,2,4389,3078,1846.8,0,0,627,45.6,0.765
6623,1,2,3,3,,,3303.98,0,,503,37.4,0.775
7074,0,3,3,0,7397,6064,5882.08,0,0,170,35.7,0.762
2972,0,1,4,0,6558,5452,5124.88,0,0,431,45.1,0.785
8321,1,2,10,2,5981,4867,3747.59,0,0,832,28.4,0.762
7556,1,3,10,3,6888,5727,4180.71,0,0,354,57.6,0.79
9437,0,1,2,3,3862,2601,2574.99,0,0,790,50.3,0.771
4502,1,2,4,,3065,1917,1897.83,0,0,601,57.7,0.771
7213,0,3,3,0,5378,4239,4027.05,0,0,720,31.4,0.781
9014,0,1,0,3,4453,3234,3201.66,0,0,437,50.3,0.773
4629,1,2,9,3,8119,6628,5236.12,0,,552,33.2,0.753
8837,0,3,0,2,5998,4776,4632.72,,0,569,53.6,0.798
3388,1,1,8,4,2975,1566,1158.84,0,0,218,46.6,0.77
7965,0,2,2,4,6615,5408,5137.6,0,,891,28.3,0.798
5396,0,1,3,1,6691,5650,5254.5,0,0,718,32.3,0.75
5390,1,2,7,0,3533,2442,,0,0,859,27.8,0.797
3859,0,3,6,0,7114,5871,5518.74,0,0,507,,0.796
3481,1,1,4,2,4148,2925,2018.25,0,0,882,50.6,0.778
9866,0,2,7,0,8438,6954,6467.22,0,0,351,56.5,0.788
9975,0,3,2,0,4348,3284,3185.48,0,0,249,44.2,0.759
2983,0,1,5,0,2989,1741,1636.54,0,0,622,50.5,0.751
3338,1,2,1,4,8342,7085,4959.5,0,0,435,28.5,0.784
6478,1,3,5,1,8549,7418,4524.98,0,,188,27.2,0.79
6036,0,1,1,2,7450,6387,6003.78,0,0,386,48.8,0.763
6530,1,2,2,4,5927,4475,2864,0,,624,57.6,0.8
4649,1,3,6,1,8554,7231,4627.84,0,0,387,34.7,0.797
5158,0,1,6,1,6413,5014,4913.72,0,0,392,26.3,0.771
5095,0,2,5,3,7600,6147,5839.65,0,0,519,30.1,0.775
4997,1,3,2,4,,,5204.42,0,0,386,30.8,0.775
4048,0,1,4,0,5518,3185.48,4254.42,0,0,341,29.6,0.788
2915,1,2,7,3,8950,7610,5479.2,0,0,790,26.5,0.798
4468,0,3,6,1,7669,6263,6075.11,0,0,601,39.9,0.781
5089,0,1,1,3,5983,4874,4532.82,0,0,720,29.5,0.775
3147,0,2,3,3,4640,3413,3310.61,0,0,437,44,0.757
5452,0,3,4,0,3345,2289,2197.44,0,0,552,35.1,0.8
3897,0,4,8,0,4756,3685,3611.3,0,,569,37.1,0.772
4154,1,1,6,3,8190,6869,4602.23,0,0,218,42.8,0.76
7239,1,2,1,2,7394,6216,6153.84,0,0,891,34.5,0.792
2509,0,3,4,0,3640,2422,2373.56,0,0,718,32.2,0.764
7094,1,1,2,0,8198,6805,4695.45,0,0,859,35.1,0.769
2784,1,2,4,2,5532,4077,3098.52,0,,507,28.3,0.778
8262,1,3,7,1,5591,4481,3405.56,0,0,306,28.1,0.764
5476,0,1,4,0,9323,7849,7692.02,0,0,506,31,0.783
6299,0,2,0,0,5732,4283,4026.02,0,0,874,29.2,0.768
8527,0,3,1,3,6339,5156,4949.76,0,0,824,44.7,0.755
4395,0,1,4,0,8229,3185.48,6876.66,0,0,811,51.2,0.8
7271,1,2,1,4,4411,3272,2355.84,0,0,732,52.8,0.796
6288,1,3,6,0,8511,7066,4380.92,0,0,329,46.5,0.763
9145,1,1,6,1,8903,7646,5963.88,0,0,784,37.7,0.757
9966,0,2,6,0,6406,5285,5073.6,0,0,387,32.5,0.774
6045,0,3,0,4,6153,4918,4819.64,0,0,652,52.1,0.799
3484,0,1,4,0,6748,5559,5392.23,0,0,790,26.8,0.764
6057,1,2,9,4,6302,4945,3016.45,0,0,601,35.4,0.774
4495,0,3,0,2,5630,4486,4261.7,0,,720,37.2,0.795
7259,1,1,2,2,9164,7931,7455.14,0,0,437,44.2,0.783
5878,0,2,4,0,6643,5262,5104.14,0,0,552,34.1,0.764
4674,1,1,9,4,6258,4807,3268.76,0,0,569,32.8,0.764
6444,0,2,0,2,3196,1887,1830.39,0,0,218,52,0.792
9330,0,3,1,2,7737,6606,6209.64,0,0,891,59.5,0.797
3183,1,1,0,0,7192,3185.48,5517.8,0,0,718,48.6,0.757
7201,0,2,5,1,7910,6781,6441.95,0,0,859,47.8,0.797
5929,0,3,4,0,5796,4370,4238.9,0,0,507,59.7,0.792
7495,1,1,5,1,7746,6646,4585.74,0,0,667,39.2,0.792
5873,0,2,1,0,5296,4171,4087.58,0,0,844,59.8,0.775
9632,0,3,0,0,6617,5406,5189.76,0,,469,54.5,0.794
6935,0,1,4,0,7585,6103,5919.91,0,0,465,46.2,0.764
3780,1,2,4,1,8784,7424,5048.32,0,0,251,45.9,0.763
6517,0,3,3,0,5678,4330,4286.7,0,,513,42.4,0.785
8179,0,1,2,2,7270,5911,5792.78,0,0,235,38.2,0.779
4270,0,2,2,0,2978,1964,1885.44,0,0,584,28.9,0.78
5850,0,3,2,1,7738,6640,6308,0,0,417,58,0.795
6360,1,1,4,2,8133,7108,6823.68,0,0,850,60,0.77
6414,0,2,4,0,5128,3956,3837.32,0,0,690,26.2,0.763
8850,0,3,0,1,8299,6939,6592.05,0,0,595,37.2,0.754
3757,1,1,5,1,5109,4025,2857.75,0,0,373,33.7,0.772
8200,0,2,1,0,6908,5561,5171.73,0,0,887,32.3,0.773
5534,0,3,0,1,5338,3897,3741.12,0,0,484,53.2,0.753
7769,0,1,2,2,7318,5911,5733.67,0,0,699,57.7,0.75
5677,0,2,2,2,5200,3185.48,3817.1,0,,421,59.2,0.772
3962,0,3,0,2,4249,2992,2842.4,0,0,177,27.2,0.77
8429,0,1,2,1,3346,1935,1818.9,0,0,721,45.3,0.767
4839,0,2,0,1,6157,4945,4895.55,0,,519,49.8,0.779
7044,0,3,1,2,8502,7267,7048.99,0,0,801,57.3,0.759
4259,0,1,4,0,3235,2017,1916.15,0,,667,56.8,0.768
6378,0,2,2,0,7017,5781,5434.14,0,0,613,40.8,0.799
7218,0,1,3,0,6870,5779,5547.84,0,0,208,,0.757
2465,1,2,5,1,4592,3187,2358.38,0,0,670,28,0.794
4401,1,3,5,0,8665,7458,5817.24,0,0,268,44.7,0.794
2500,0,1,0,0,7541,6403,5954.79,0,0,841,35.9,0.788
9130,0,2,3,0,8040,6670,6203.1,0,0,,52.5,0.764
4700,0,3,0,2,2783,1622,1540.9,0,0,639,32,0.769
8693,0,1,1,2,5472,4228,4143.44,0,0,404,25.7,0.755
3180,0,2,1,1,7713,6246,6058.62,0,0,525,46.3,0.75
3043,0,3,1,0,4918,3508,3332.6,0,0,266,36.5,0.762
2581,0,1,0,2,6107,4993,4843.21,0,,230,47.2,0.763
7311,0,1,2,2,3881,2399,2351.02,0,0,561,40.1,0.755
5754,1,2,3,2,4798,3464,3394.72,0,0,465,34.3,0.765
5369,0,3,1,1,6885,5441,5060.13,0,,770,42.5,0.782
6648,0,1,2,2,3424,2095,2053.1,0,0,790,30.7,0.751
3264,0,2,2,0,7649,3185.48,5981.2,0,0,601,56.9,0.757
9064,0,3,1,2,7231,5738,5623.24,0,0,720,32.1,0.769
9760,0,1,3,1,8379,6992,6572.48,0,0,437,47.4,0.768
5112,0,2,0,0,8743,7522,6995.46,0,0,552,59.7,0.757
9565,0,3,5,1,8632,7582,7202.9,0,0,569,27.4,0.8
9233,0,1,5,0,5882,4679,4398.26,0,0,218,41,0.791
6594,0,2,4,1,8112,6635,6435.95,0,0,891,39.6,0.76
4533,0,3,5,1,6279,4918,4721.28,0,0,718,30.6,0.794
3374,0,1,5,0,7623,6250,6000,0,0,859,26,0.759
5380,0,2,4,1,2954,1818,1727.1,0,0,507,57.4,0.75
8532,0,3,1,1,5774,4614,4475.58,0,0,769,38.5,0.773
5017,0,1,1,2,4677,3427,3324.19,0,0,781,30.5,0.765
9188,0,2,4,1,6380,5285,5179.3,0,0,430,53.3,0.754
5603,0,3,3,0,3494,2069,1986.24,0,0,229,47.4,0.753
7441,1,1,2,1,5194,3724,3612.28,0,,600,34.2,0.793
4585,0,2,0,2,7637,6414,6349.86,0,0,506,27.6,0.753
2445,0,1,3,1,4011,2604,2421.72,0,0,440,36.4,0.763
8220,0,2,0,1,,,3853.06,0,0,585,49,0.763
7734,0,3,3,1,4574,3196,3004.24,0,,850,28.5,0.766
4067,0,1,3,0,2537,1501,1395.93,0,0,881,47.7,0.756
5795,1,2,5,2,3493,2198,1626.52,0,0,813,56.5,0.786
7372,0,3,4,0,7734,6421,6099.95,0,0,717,38.5,0.755
9169,0,1,,1,8410,6995,6575.3,0,0,235,46.7,0.769
9068,0,2,0,1,5428,4234,3937.62,0,0,304,47.5,0.77
5507,0,1,2,2,5699,4531,4213.83,0,0,780,38.6,0.773
3128,0,2,2,2,3218,1909,1832.64,0,0,423,52.5,0.776
9111,1,3,5,1,5508,4415,3443.7,0,0,538,26.2,0.772
4168,0,1,2,1,7431,6137,5952.89,0,0,449,55.2,0.794
8685,0,2,4,0,5643,4385,4253.45,0,0,765,51.9,0.799
4914,0,3,4,2,6160,5006,4805.76,0,0,489,55.4,0.757
3852,0,1,2,2,8167,3185.48,6609.15,0,0,677,37.6,0.763
8633,0,2,3,0,8457,7439,7290.22,0,0,563,43.7,0.788
3555,0,3,2,0,4301,3165,2943.45,0,0,304,58.7,0.759
6598,1,1,7,4,6261,5242,3407.3,0,0,201,46.6,0.75
4708,0,2,5,0,6998,5783,5436.02,0,0,288,53,0.791
8423,0,3,4,0,7145,5997,5937.03,0,0,368,54.9,0.779
6429,0,1,5,1,7785,6506,6050.58,0,0,754,56.8,0.777
3216,0,2,5,2,4252,3056,2994.88,0,0,770,51.9,0.781
7439,0,3,5,1,4536,3471,3401.58,0,0,790,29.5,0.763
7619,0,1,4,2,6935,5566,5232.04,0,0,601,49.7,0.768
9585,0,2,1,2,8874,7833,7363.02,0,0,720,44.1,0.787
3500,0,3,0,2,6157,4885,4787.3,0,0,437,56.8,0.769
5759,0,1,3,2,6488,5010,4659.3,0,0,552,54.1,0.782
6256,0,2,1,0,4485,3004,2913.88,0,0,569,58.3,0.782
4794,0,1,1,2,4860,3768,3654.96,0,0,218,29.7,0.76
3964,0,2,2,1,8998,7755,7522.35,0,0,891,26,0.778
5956,0,3,0,1,4871,3848,3694.08,0,0,718,33.8,0.757
3561,0,1,2,2,5948,4759,4425.87,0,0,859,50.6,0.799
5032,0,2,1,0,5983,4960,4761.6,0,0,507,52,0.75
8295,1,3,5,2,6532,5479,3287.4,0,0,502,56,0.791
4811,1,1,1,2,8623,7314,6802.02,0,0,474,54.8,0.787
8777,0,2,0,1,6697,5361,4985.73,0,0,676,26.4,0.769
4372,1,3,3,0,6200,5027,4976.73,0,0,718,47.6,0.773
9775,1,4,3,0,8230,6842,6636.74,0,0,883,27.4,0.753
6098,0,2,1,2,7932,6503,6242.88,0,,736,45.9,0.777
9241,1,3,2,0,6194,4807,4710.86,0,0,612,55.6,0.777
5811,0,1,4,1,6277,3185.48,5083.26,0,0,779,44.2,0.762
8259,1,2,3,1,4430,2996,2876.16,0,,346,59.4,0.793
8647,0,3,3,2,4746,3627,3373.11,0,0,365,35.8,0.761
8559,1,1,1,1,5247,3897,3663.18,0,0,667,48.7,0.783
8888,0,2,3,2,8727,7237,6730.41,0,0,399,50.9,0.784
4995,0,3,0,1,5049,3625,3443.75,0,0,491,42.5,0.764
3418,0,1,1,2,7290,6145,5714.85,0,0,625,54,0.795
9626,0,2,3,2,6378,5134,5031.32,0,0,456,35.1,0.782
6457,0,3,1,1,7592,6251,6188.49,0,0,675,50.4,0.753
7094,0,1,3,2,5851,3185.48,4346.1,0,0,887,,0.78
5910,0,2,2,2,7042,5760,5356.8,0,0,235,43.2,0.777
5262,1,3,4,2,8532,7369,5305.68,0,0,349,53.4,0.753
6484,0,1,0,2,8833,7777,7465.92,0,0,224,59.8,0.757
5057,0,2,3,2,4960,3855,3623.7,0,0,790,57.7,0.765
5070,0,3,3,2,3823,2496,2371.2,0,0,601,54.2,0.756
7743,0,4,4,0,,,4135.23,0,0,720,45,0.795
5044,0,2,1,2,8082,6612,6413.64,0,0,437,49,0.765
4536,0,1,4,2,5413,4063,3819.22,0,0,552,39.3,0.776
7108,0,2,2,2,3633,2159,2072.64,0,0,569,44.8,0.75
8185,0,3,4,2,4254,3208,3175.92,0,0,218,54.9,0.751
9164,0,1,5,0,7702,6520,6128.8,0,0,891,57.5,0.755
2751,0,2,0,2,4705,3185.48,3284.96,0,0,718,53,0.789
8583,0,3,2,1,6013,4897,4554.21,0,0,859,25.4,0.773
6292,0,1,0,2,4006,3185.48,2842,0,0,507,56.4,0.754
6982,0,2,2,0,7346,6187,6063.26,0,0,520,53.1,0.783
3632,0,3,3,0,3528,2456,2308.64,0,0,701,49.8,0.793
6406,0,1,0,1,5167,3838,3607.72,0,0,218,41.2,0.757
9183,0,1,1,1,6060,3185.48,4829.22,0,0,225,58.6,0.785
4279,0,2,0,2,7534,6081,5716.14,0,0,543,51,0.777
4519,0,3,4,0,8596,7342,6974.9,0,0,408,32.3,0.766
8559,0,1,3,0,3914,2743,2688.14,0,0,745,38.1,0.769
2936,0,2,2,1,8815,7349,7202.02,0,0,351,37.1,0.79
7579,0,3,1,0,6975,5642,5303.48,0,0,735,34.4,0.75
4810,0,1,3,1,3362,2250,2227.5,0,0,163,38.8,0.792
3816,0,2,2,0,7861,6422,5972.46,0,0,,35.6,0.788
6362,0,3,3,2,6449,4968,4669.92,0,0,612,37.3,0.762
4226,0,1,2,1,6339,5192,4932.4,0,0,521,50.4,0.77
7687,0,2,2,0,3330,2117,1968.81,0,0,476,45.7,0.78
6937,0,3,4,0,2696,1647,1548.18,0,0,609,53.6,0.789
8580,0,1,3,0,7463,3185.48,6180.57,0,0,371,50.4,0.776
6330,0,2,0,2,6062,4778,4491.32,0,,179,59,0.753
2838,0,3,4,0,6744,5256,4940.64,0,0,292,35.1,0.767
5442,0,1,3,0,3616,2475,2376,0,0,172,27.7,0.763
5388,0,2,1,2,7444,6074,5891.78,0,0,510,48.7,0.766
9749,1,3,5,1,7476,6235,3741,0,,286,55.1,0.761
8612,1,1,3,1,6332,4988,4638.84,0,0,720,42.3,0.79
9701,0,2,4,1,4334,3041,2919.36,0,0,324,59.3,0.795
2789,0,1,4,0,7611,6477,6023.61,0,0,663,27.7,0.797
3069,1,2,0,0,7056,5906,5492.58,0,0,334,35.4,0.753
6404,0,3,1,1,7333,6306,5927.64,0,0,729,33.7,0.78
5305,0,1,1,0,3245,1778,1760.22,0,0,467,25.2,0.772
4534,0,2,0,0,7989,6512,6251.52,0,0,702,32.3,0.759
2636,0,3,0,0,2901,1881,1843.38,0,0,738,50.8,0.779
2898,0,1,0,0,3003,1547,1438.71,0,0,790,52.3,0.772
3528,0,2,0,1,4327,3185.48,2959.12,0,0,601,33.8,0.777
