,state,non vegetarian,vegetarian
0,Andhra Pradesh,0.0,10.0
1,Assam,10.0,11.0
2,Bihar,0.0,3.0
3,Chhattisgarh,0.0,1.0
4,Goa,1.0,2.0
5,Gujarat,0.0,35.0
6,Haryana,0.0,1.0
7,Jammu & Kashmir,0.0,2.0
8,Karnataka,0.0,6.0
9,Kerala,1.0,7.0
10,Madhya Pradesh,0.0,2.0
11,Maharashtra,2.0,28.0
12,Manipur,1.0,1.0
13,NCT of Delhi,1.0,0.0
14,Nagaland,1.0,0.0
15,Odisha,0.0,7.0
16,Other state,0.0,24.0
17,Punjab,4.0,28.0
18,Rajasthan,0.0,6.0
19,Tamil Nadu,1.0,19.0
20,Telangana,1.0,4.0
21,Tripura,1.0,0.0
22,Uttar Pradesh,0.0,9.0
23,Uttarakhand,0.0,1.0
24,West Bengal,5.0,19.0
