,state,bitter,other,sour,spicy,sweet
0,Andhra Pradesh,0.0,0.0,0.0,2.0,8.0
1,Assam,0.0,4.0,0.0,11.0,6.0
2,Bihar,0.0,0.0,0.0,2.0,1.0
3,Chhattisgarh,0.0,0.0,0.0,1.0,0.0
4,Goa,0.0,0.0,0.0,1.0,2.0
5,Gujarat,2.0,3.0,1.0,23.0,6.0
6,Haryana,0.0,0.0,0.0,1.0,0.0
7,Jammu & Kashmir,0.0,0.0,0.0,1.0,1.0
8,Karnataka,0.0,1.0,0.0,2.0,3.0
9,Kerala,0.0,3.0,0.0,4.0,1.0
10,Madhya Pradesh,0.0,0.0,0.0,1.0,1.0
11,Maharashtra,0.0,4.0,0.0,14.0,12.0
12,Manipur,0.0,1.0,0.0,0.0,1.0
13,NCT of Delhi,0.0,0.0,0.0,1.0,0.0
14,Nagaland,0.0,0.0,0.0,1.0,0.0
15,Odisha,0.0,1.0,0.0,0.0,6.0
16,Other state,0.0,4.0,0.0,14.0,6.0
17,Punjab,2.0,2.0,0.0,25.0,3.0
18,Rajasthan,0.0,0.0,0.0,3.0,3.0
19,Tamil Nadu,0.0,4.0,0.0,14.0,2.0
20,Telangana,0.0,0.0,0.0,1.0,4.0
21,Tripura,0.0,0.0,0.0,1.0,0.0
22,Uttar Pradesh,0.0,0.0,0.0,4.0,5.0
23,Uttarakhand,0.0,0.0,0.0,0.0,1.0
24,West Bengal,0.0,2.0,0.0,6.0,16.0
