州,state,bitter,other,sour,spicy,sweet
安得拉邦,Andhra Pradesh,0,0,0,2,8
阿萨姆,Assam,0,4,0,11,6
比哈尔,Bihar,0,0,0,2,1
切蒂斯格尔,Chhattisgarh,0,0,0,1,0
果阿,Goa,0,0,0,1,2
古吉拉特,Gujarat,2,3,1,23,6
哈里亚纳,Haryana,0,0,0,1,0
查谟和克什米尔,Jammu & Kashmir,0,0,0,1,1
卡纳塔克,Karnataka,0,1,0,2,3
喀拉拉,Kerala,0,3,0,4,1
中央邦,Madhya Pradesh,0,0,0,1,1
马哈拉施特拉,Maharashtra,0,4,0,14,12
曼尼普尔,Manipur,0,1,0,0,1
德里,NCT of Delhi,0,0,0,1,0
那加兰,Nagaland,0,0,0,1,0
奥里萨邦,Odisha,0,1,0,0,6
其他州,Other state,0,4,0,14,6
旁遮普,Punjab,2,2,0,25,3
拉贾斯坦,Rajasthan,0,0,0,3,3
泰米尔纳德,Tamil Nadu,0,4,0,14,2
特伦甘地,Telangana,0,0,0,1,4
特里普拉,Tripura,0,0,0,1,0
北安恰尔,Uttar Pradesh,0,0,0,4,5
北方邦,Uttarakhand,0,0,0,0,1
西孟加拉,West Bengal,0,2,0,6,16
